iter	Passed	Remaining
0	0	95
1	1	81
2	2	77
3	2	70
4	3	68
5	4	67
6	4	65
7	5	65
8	6	64
9	7	64
10	7	62
11	8	62
12	9	61
13	9	61
14	10	61
15	11	60
16	12	59
17	13	59
18	13	58
19	14	57
20	15	56
21	15	56
22	16	55
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	51
29	21	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	53	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	59	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
